Player,Pos,Squad,Comp,npxG,-9999
Sardar Azmoun,FWMF,Leverkusen,de Bundesliga,2.3,10549b49
Enis Bardhi,MFFW,Levante,es La Liga,2.3,cac2537b
Federico Chiesa,MFFW,Juventus,it Serie A,2.3,b0f7e36c
Bryan Cristante,MF,Roma,it Serie A,2.3,16657b95
Domen Črnigoj,MFDF,Venezia,it Serie A,2.3,22cd43d2
Alessandro Deiola,MF,Cagliari,it Serie A,2.3,7f267d66
Wout Faes,DF,Reims,fr Ligue 1,2.3,9c221d14
Fidel,MFFW,Elche,es La Liga,2.3,eb82b6f1
Jonathan Ikone,MFFW,Lille,fr Ligue 1,2.3,42eaa028
Ivan Ilić,MF,Hellas Verona,it Serie A,2.3,bb376bed
Luka Jović,FW,Real Madrid,es La Liga,2.3,4d8cd038
Naby Keïta,MF,Liverpool,eng Premier League,2.3,f25c8e3a
Konrad Laimer,MF,RB Leipzig,de Bundesliga,2.3,c1b7847c
Dejan Ljubicic,MFFW,Köln,de Bundesliga,2.3,c455a2b2
Dodi Lukebakio,FWMF,Wolfsburg,de Bundesliga,2.3,0c61c77c
Jean-Victor Makengo,MF,Udinese,it Serie A,2.3,22bfb57e
Youssef Maleh,MF,Fiorentina,it Serie A,2.3,4c8845f7
Weston McKennie,MF,Juventus,it Serie A,2.3,01c3aff5
Dwight McNeil,MF,Burnley,eng Premier League,2.3,fc15fb84
Loum Ndiaye,MF,Alavés,es La Liga,2.3,bcfc4473
Mathías Olivera,DF,Getafe,es La Liga,2.3,41c12f75
Salih Özcan,MF,Köln,de Bundesliga,2.3,15413fa5
Portu,FWMF,Real Sociedad,es La Liga,2.3,1bda5842
Rafinha,MFFW,Real Sociedad,es La Liga,2.3,0c2ac3cb
Fábio Silva,FW,Wolves,eng Premier League,2.3,e7aa9d7c
Aurélien Tchouaméni,MF,Monaco,fr Ligue 1,2.3,4f255115
James Ward-Prowse,MF,Southampton,eng Premier League,2.3,3515d404
Marius Wolf,DFFW,Dortmund,de Bundesliga,2.3,fa661778
Dickson Abiama,FW,Greuther Fürth,de Bundesliga,2.2,cadd666a
Francesco Acerbi,DF,Lazio,it Serie A,2.2,b96b595c
Yacine Adli,MFFW,Bordeaux,fr Ligue 1,2.2,26777636
Ridle Baku,DFFW,Wolfsburg,de Bundesliga,2.2,442b56fa
Karim Bellarabi,FWDF,Leverkusen,de Bundesliga,2.2,bee0bab1
Ramy Bensebaini,DF,M'Gladbach,de Bundesliga,2.2,378825c7
Merih Demiral,DF,Atalanta,it Serie A,2.2,e3cceee6
Rúben Dias,DF,Manchester City,eng Premier League,2.2,31c69ef1
Pascal Groß,MFDF,Brighton,eng Premier League,2.2,8aec0537
Gabriel Gudmundsson,DFMF,Lille,fr Ligue 1,2.2,d5d22a58
Kristijan Jakić,MF,Eint Frankfurt,de Bundesliga,2.2,a8ee54ad
Teun Koopmeiners,MF,Atalanta,it Serie A,2.2,a26fb8aa
Didier Lamkel Zé,FW,Metz,fr Ligue 1,2.2,b229aa13
Gianluca Mancini,DF,Roma,it Serie A,2.2,5aa53281
Leonardo Mancuso,FW,Empoli,it Serie A,2.2,311027cb
Ricardo Mangas,DF,Bordeaux,fr Ligue 1,2.2,eef2d8ce
Mariano,FW,Real Madrid,es La Liga,2.2,5c4dc0ff
Jon Moncayola,MF,Osasuna,es La Liga,2.2,9939e168
Samuel Moutoussamy,MF,Nantes,fr Ligue 1,2.2,af0c835b
Salomón Rondón,FW,Everton,eng Premier League,2.2,b318a643
Salvi,MFFW,Cádiz,es La Liga,2.2,405f267a
Kevin Schade,FWMF,Freiburg,de Bundesliga,2.2,52afb588
Fikayo Tomori,DF,Milan,it Serie A,2.2,7edfbb8a
Adrien Truffert,DF,Rennes,fr Ligue 1,2.2,5d0e0a1f
Asier Villalibre,FW,Athletic Club,es La Liga,2.2,57be54ec
Silvan Widmer,DF,Mainz 05,de Bundesliga,2.2,f68b64fc
Davide Zappacosta,DF,Atalanta,it Serie A,2.2,7fe90ccd
Miguel Almirón,MFFW,Newcastle Utd,eng Premier League,2.1,862a1c15
Bebé,FWMF,Rayo Vallecano,es La Liga,2.1,d8712bf9
Pietro Ceccaroni,DF,Venezia,it Serie A,2.1,4d1efb48
Alexander Djiku,DF,Strasbourg,fr Ligue 1,2.1,43e7a164
Aritz Elustondo,DF,Real Sociedad,es La Liga,2.1,f7dc2ae5
Martin Erlic,DF,Spezia,it Serie A,2.1,0fee6bda
Matthias Ginter,DF,M'Gladbach,de Bundesliga,2.1,f521b80a
Achraf Hakimi,DF,Paris S-G,fr Ligue 1,2.1,e42d61c7
Callum Hudson-Odoi,FWMF,Chelsea,eng Premier League,2.1,15f3ec41
Franck Kessié,MF,Milan,it Serie A,2.1,05e19d6a
