Rk,Player,Pos,Squad,Comp,90s,CPA
523,Thorgan Hazard\50871bcc,FWDF,Dortmund,de Bundesliga,14.9,9
524,Luis Henrique\f36d5624,FWMF,Marseille,fr Ligue 1,7.8,9
525,Thomas Henry\9ef42479,FW,Venezia,it Serie A,23.5,9
526,Grigoris Kastanos\2a82aa85,MFFW,Salernitana,it Serie A,15.0,9
527,Ilan Kebbal\37d04e90,MFFW,Reims,fr Ligue 1,19.7,9
528,Kouadio Koné\86574238,MF,M'Gladbach,de Bundesliga,24.3,9
529,Florian Krüger\f9f92b5f,FWMF,Arminia,de Bundesliga,12.5,9
530,Didier Lamkel Zé\b229aa13,FW,Metz,fr Ligue 1,6.7,9
531,Vincent Le Goff\2321ea6e,DF,Lorient,fr Ligue 1,34.0,9
532,Maxime Lopez\20094685,MF,Sassuolo,it Serie A,32.6,9
533,Darwin Machís\ed6ea4d9,MFFW,Granada,es La Liga,15.3,9
534,Anthony Martial\8b788c01,FWMF,Sevilla,es La Liga,5.4,9
535,Javi Martínez\3672b352,MF,Osasuna,es La Liga,9.8,9
536,Roberto Massimo\fc62fdf4,DFFW,Stuttgart,de Bundesliga,9.7,9
537,Arial Mendy\9f0f4b49,DFFW,Clermont Foot,fr Ligue 1,8.8,9
538,Nordi Mukiele\ac73ec79,DF,RB Leipzig,de Bundesliga,20.5,9
539,Pedro Neto\7ba2eaa9,FWMF,Wolves,eng Premier League,5.2,9
540,Randy Ntekja\a6103274,FWMF,Rayo Vallecano,es La Liga,16.2,9
541,Remi Oudin\ea02beaf,MFFW,Bordeaux,fr Ligue 1,19.3,9
542,Giuseppe Pezzella\149c5f5d,DF,Atalanta,it Serie A,11.9,9
543,Ronaël Pierre-Gabriel\64ba07c0,DF,Brest,fr Ligue 1,28.3,9
544,Elba Rashani\25749008,FWMF,Clermont Foot,fr Ligue 1,19.5,9
545,Roland Sallai\bf075f6b,MFFW,Freiburg,de Bundesliga,17.2,9
546,Benno Schmitz\ad00b1a8,DF,Köln,de Bundesliga,26.9,9
547,Alessandro Schöpf\106bca06,MF,Arminia,de Bundesliga,26.6,9
548,Arnaud Souquet\4e0afc5d,DF,Montpellier,fr Ligue 1,25.9,9
549,Lars Stindl\7cd6badb,MFFW,M'Gladbach,de Bundesliga,18.1,9
550,Sada Thioub\f4bc42b1,DF,Saint-Étienne,fr Ligue 1,10.6,9
551,Kieran Tierney\fce2302c,DF,Arsenal,eng Premier League,21.3,9
552,Óscar Trejo\fc647b34,MF,Rayo Vallecano,es La Liga,22.3,9
553,Nadir Zortea\82598b71,DFMF,Salernitana,it Serie A,15.7,9
554,David Alaba\05439de2,DF,Real Madrid,es La Liga,29.4,8
555,Cristian Ansaldi\bbafc0c4,DF,Torino,it Serie A,7.7,8
556,César Azpilicueta\53cad200,DF,Chelsea,eng Premier League,23.0,8
557,Iván Balliu\cee88597,DF,Rayo Vallecano,es La Liga,35.0,8
558,Kike Barja\aad53e64,MFFW,Osasuna,es La Liga,9.6,8
559,Simone Bastoni\1ac232b8,MFDF,Spezia,it Serie A,25.4,8
560,Karim Bellarabi\bee0bab1,FWDF,Leverkusen,de Bundesliga,7.6,8
561,Christian Benteke\ab070c55,FW,Crystal Palace,eng Premier League,12.7,8
562,Igor Carioca\e3e32fbb,DF,Lorient,fr Ligue 1,17.5,8
563,Gaetano Castrovilli\0728bebe,MF,Fiorentina,it Serie A,15.5,8
564,Zeki Çelik\31a62dc7,DF,Lille,fr Ligue 1,30.0,8
565,Franco Cervi\5e1028e5,MF,Celta Vigo,es La Liga,20.0,8
566,Marcus Coco\3010aefb,FWDF,Nantes,fr Ligue 1,10.3,8
567,Séamus Coleman\0420d84f,DF,Everton,eng Premier League,29.5,8
568,Tanguy Coulibaly\05ba9d7c,DFFW,Stuttgart,de Bundesliga,12.0,8
569,Stéphane Diarra\29939a1d,FWMF,Lorient,fr Ligue 1,5.8,8
570,Krepin Diatta\8104e41e,MFDF,Monaco,fr Ligue 1,3.2,8
571,Joe Gelhardt\01962d0d,FWMF,Leeds United,eng Premier League,8.3,8
572,Moi Gómez\5a626448,MFFW,Villarreal,es La Liga,14.3,8
573,Bruno Guimarães\82518f62,MF,Lyon,fr Ligue 1,18.2,8
574,Josan\5b28b2f6,DFMF,Elche,es La Liga,13.5,8
575,Florian Kainz\94c18565,MFFW,Köln,de Bundesliga,25.8,8
576,Rick Karsdorp\9f84febe,DF,Roma,it Serie A,32.0,8
577,Alexandre Lacazette\9dbb75ca,FWMF,Arsenal,eng Premier League,19.8,8
578,Ruben Loftus-Cheek\e97fd090,MFDF,Chelsea,eng Premier League,15.5,8
579,Giulio Maggiore\957e4c87,MF,Spezia,it Serie A,31.3,8
580,Lovro Majer\fc46aab1,MF,Rennes,fr Ligue 1,20.4,8
581,Hugo Mallo\cb574619,DF,Celta Vigo,es La Liga,20.3,8
582,Nathanael Mbuku\46750e9c,FWMF,Reims,fr Ligue 1,15.8,8
583,Weston McKennie\01c3aff5,MF,Juventus,it Serie A,15.2,8
584,Nuno Mendes\f20e4cc9,DF,Paris S-G,fr Ligue 1,18.4,8
585,Sergej Milinković-Savić\4e6dbac4,MF,Lazio,it Serie A,34.4,8
586,Maximilian Mittelstädt\88d4144a,DFFW,Hertha BSC,de Bundesliga,16.6,8
587,Anthony Modeste\34e4343c,FW,Köln,de Bundesliga,29.0,8
588,Johan Mojica\608f2092,DF,Elche,es La Liga,31.7,8
589,Vedat Muriqi\0cadc46d,FW,Mallorca,es La Liga,16.0,8
590,Joakim Mæhle\c459a650,DF,Atalanta,it Serie A,16.3,8
591,Florian Niederlechner\d6862409,FW,Augsburg,de Bundesliga,12.9,8
592,Dango Ouattara\2f9e4435,MFFW,Lorient,fr Ligue 1,9.0,8
593,Mads Pedersen\582a5247,MFDF,Augsburg,de Bundesliga,15.5,8
594,Carles Pérez\a8f21b9f,MFFW,Roma,it Serie A,6.2,8
595,Paul Pogba\867239d3,MFFW,Manchester Utd,eng Premier League,15.0,8
596,Sebastian Polter\3745e8bd,FW,Bochum,de Bundesliga,26.0,8
597,Antonio Puertas\c77a8043,MFFW,Granada,es La Liga,25.1,8
598,Tyler Roberts\6c17e046,MFFW,Leeds United,eng Premier League,11.0,8
599,Rodri\6434f10d,MF,Manchester City,eng Premier League,32.0,8
600,Ángel Rodríguez\8cfc2f69,FW,Mallorca,es La Liga,17.2,8
601,Rogério\10e7f486,DF,Sassuolo,it Serie A,19.2,8
602,Mário Rui\0b5a292a,DF,Napoli,it Serie A,33.2,8
603,Wesley Saïd\90fcf472,FWMF,Lens,fr Ligue 1,7.3,8
604,Antonio Sanabria\0a447501,FW,Torino,it Serie A,20.0,8
605,Joe Scally\236f02cd,DF,M'Gladbach,de Bundesliga,21.2,8
606,Jeffrey Schlupp\3312f911,MFFW,Crystal Palace,eng Premier League,20.6,8
607,Roberto Soriano\9d4c45d6,MFFW,Bologna,it Serie A,29.1,8
608,Calvin Stengs\8f7e6783,MF,Nice,fr Ligue 1,11.9,8
609,Denis Suárez\12c50af5,MF,Celta Vigo,es La Liga,31.3,8
610,Adrien Tameze\8da74c05,MFDF,Hellas Verona,it Serie A,28.6,8
611,Timothy Tillman\a5bea1fb,MF,Greuther Fürth,de Bundesliga,22.3,8
612,Yoann Touzghar\4e47507a,FW,Troyes,fr Ligue 1,16.2,8
613,Andros Townsend\b28bbd58,MF,Everton,eng Premier League,16.2,8
614,Christopher Trimmel\056d2d95,DF,Union Berlin,de Bundesliga,22.1,8
615,Christos Tzolis\9f333379,FWMF,Norwich City,eng Premier League,3.7,8
616,Federico Valverde\0959c2a2,MF,Real Madrid,es La Liga,20.4,8
617,Matías Viña\08eb3b58,DF,Roma,it Serie A,17.4,8
618,Dušan Vlahović\79443529,FW,Fiorentina,it Serie A,20.6,8
619,Nikola Vlašić\aa8e289e,FWMF,West Ham,eng Premier League,6.2,8
620,Andreas Voglsammer\daa78200,FWMF,Union Berlin,de Bundesliga,9.8,8
621,Jonas Wind\2077ae86,FWMF,Wolfsburg,de Bundesliga,13.1,8
622,Arber Zeneli\095e4199,FW,Reims,fr Ligue 1,4.5,8
623,Dickson Abiama\cadd666a,FW,Greuther Fürth,de Bundesliga,8.1,7
624,Felix Afena-Gyan\0154d290,FWMF,Roma,it Serie A,7.4,7
625,Ludovic Ajorque\462475ed,FW,Strasbourg,fr Ligue 1,30.4,7
626,Janis Antiste\38d9ce53,FW,Spezia,it Serie A,8.8,7
627,Mattia Aramu\0847b5a5,MFFW,Venezia,it Serie A,23.3,7
628,Ezequiel Ávila\253a06b9,FWMF,Osasuna,es La Liga,20.8,7
629,Carlos Bacca\09a9e921,FW,Granada,es La Liga,5.7,7
630,Ander Barrenetxea\200e89e1,FWMF,Real Sociedad,es La Liga,6.1,7
631,Youcef Belaïli\1a248246,MFFW,Brest,fr Ligue 1,9.2,7
632,Raoul Bellanova\e3756e72,DF,Cagliari,it Serie A,27.7,7
633,Héctor Bellerín\f874dd44,DF,Betis,es La Liga,22.0,7
634,Bartosz Bereszyński\61b3978f,DF,Sampdoria,it Serie A,32.7,7
635,Hicham Boudaoui\f9d5908e,MF,Nice,fr Ligue 1,18.0,7
636,Bilal Brahimi\02bcaf8e,FWDF,Angers,fr Ligue 1,3.8,7
637,Bryan\7b5ab7f2,MFFW,Valencia,es La Liga,8.4,7
638,José Callejón\78841da9,FW,Fiorentina,it Serie A,14.4,7
639,Abdu Conté\cfa49cc1,DF,Troyes,fr Ligue 1,15.0,7
640,Hélder Costa\f13d02a6,MFFW,Valencia,es La Liga,12.4,7
641,Vladimír Coufal\fdf3cb77,DF,West Ham,eng Premier League,24.5,7
642,Cucho\71b47ab9,FWMF,Watford,eng Premier League,12.7,7
643,Moanes Dabbur\eac044ad,FWMF,Hoffenheim,de Bundesliga,14.6,7
644,Matteo Darmian\96e0490d,DF,Inter,it Serie A,16.7,7
645,Abdoulaye Doucouré\02b29014,MF,Everton,eng Premier League,28.2,7
646,Éderson\a9202def,MF,Salernitana,it Serie A,12.7,7
647,Alfonso Espino\db001fa9,DF,Cádiz,es La Liga,37.0,7
648,Pervis Estupiñán\d38fdf53,DF,Villarreal,es La Liga,17.5,7
649,Nicolás González\2c56a792,MF,Barcelona,es La Liga,12.4,7
650,Liam Henderson\d7918b13,MF,Empoli,it Serie A,22.4,7
651,Pierre Højbjerg\8b04d6c1,MF,Tottenham,eng Premier League,35.5,7
652,Joaquín\4c5b14d2,FWMF,Betis,es La Liga,5.2,7
653,Frenkie de Jong\1bacc518,MF,Barcelona,es La Liga,27.5,7
654,Jutglà\2a9f6b4d,FW,Barcelona,es La Liga,3.3,7
655,Gaël Kakuta\5b1bf5e3,MFFW,Lens,fr Ligue 1,18.6,7
656,Sasa Kalajdzic\15f24fe7,FW,Stuttgart,de Bundesliga,13.6,7
657,N'Golo Kanté\b9fbae28,MF,Chelsea,eng Premier League,19.7,7
658,Teun Koopmeiners\a26fb8aa,MF,Atalanta,it Serie A,23.6,7
659,Max Kruse\f9446dcd,FWMF,Wolfsburg,de Bundesliga,12.5,7
660,Manuel Lanzini\26f6dca8,MFFW,West Ham,eng Premier League,19.8,7
661,Pierre Lees-Melou\f5044e54,MF,Norwich City,eng Premier League,25.2,7
662,Iñigo Lekue\59b7d823,DF,Athletic Club,es La Liga,21.4,7
663,Tim Lemperle\792ffa71,FWMF,Köln,de Bundesliga,1.7,7
664,Giovani Lo Celso\d7553721,MFFW,Villarreal,es La Liga,11.0,7
665,Jordan Lotomba\fc4cf6a7,DF,Nice,fr Ligue 1,19.8,7
666,Eduard Löwen\70678132,MF,Bochum,de Bundesliga,15.7,7
667,Jean Lucas\a99138af,MF,Monaco,fr Ligue 1,16.1,7
668,Maranhão\ae86d473,FWMF,Valencia,es La Liga,10.8,7
669,Răzvan Marin\7fac99d4,MF,Cagliari,it Serie A,31.3,7
670,John McGinn\90f91999,MF,Aston Villa,eng Premier League,34.3,7
671,Mikel Merino\d080ed5e,MF,Real Sociedad,es La Liga,32.1,7
672,Arkadiusz Milik\85613cf0,FW,Marseille,fr Ligue 1,15.7,7
673,Enock Mwepu\1d5cab82,MFFW,Brighton,eng Premier League,11.1,7
674,Tanguy Ndombele\5cdddffa,MF,Tottenham,eng Premier League,5.4,7
675,Álvaro Negredo\63b0ca6b,FW,Cádiz,es La Liga,24.0,7
676,Miloš Pantović\5dc15574,MFFW,Bochum,de Bundesliga,17.0,7
677,Manolo Portanova\c8c0dccd,FWMF,Genoa,it Serie A,14.7,7
678,Yussuf Poulsen\d2416c2e,FW,RB Leipzig,de Bundesliga,12.0,7
679,Rafinha\0c2ac3cb,MFFW,Real Sociedad,es La Liga,11.7,7
680,Rodrigo\85bed4ee,FW,Betis,es La Liga,9.8,7
681,Mama Samba Baldé\fb14aa28,FWMF,Troyes,fr Ligue 1,19.1,7
682,Gianluca Scamacca\8790f988,FW,Sassuolo,it Serie A,23.8,7
683,Ryan Sessegnon\6aa3e78b,DF,Tottenham,eng Premier League,11.6,7
684,Ibrahima Sissoko\0f8418aa,MFDF,Strasbourg,fr Ligue 1,25.6,7
685,Nathan Tella\f1e94cd6,MFFW,Southampton,eng Premier League,8.9,7
686,Kostas Tsimikas\f315ca93,DF,Liverpool,eng Premier League,9.7,7
687,Sebastian Vasiliadis\d3112d86,MF,Arminia,de Bundesliga,13.3,7
688,Dušan Vlahović\79443529,FW,Juventus,it Serie A,12.0,7
689,Edon Zhegrova\34a88e3e,MFFW,Lille,fr Ligue 1,5.3,7
690,Marcos Acuña\81442ecb,DF,Sevilla,es La Liga,25.1,6
691,Iván Alejo\3d7e48ce,MFFW,Cádiz,es La Liga,11.8,6
692,Amath\f3b1d9a2,FWMF,Mallorca,es La Liga,9.8,6
693,Adil Aouchiche\b94b8be1,MFFW,Saint-Étienne,fr Ligue 1,12.0,6
694,Mitchel Bakker\a8567629,DF,Leverkusen,de Bundesliga,20.2,6
695,Bradley Barcola\a0d55a09,FWMF,Lyon,fr Ligue 1,2.9,6
696,Ramy Bensebaini\378825c7,DF,M'Gladbach,de Bundesliga,22.4,6
697,Jason Berthomier\03e91055,MF,Clermont Foot,fr Ligue 1,19.2,6
698,Daniel Bessa\88895312,MFFW,Hellas Verona,it Serie A,8.5,6
699,Emi Buendía\66b76d44,FWMF,Aston Villa,eng Premier League,21.1,6
700,Dani Carvajal\4958bfb2,DF,Real Madrid,es La Liga,17.2,6
701,Carney Chukwuemeka\b2f9c73e,MFFW,Aston Villa,eng Premier League,3.3,6
702,Nicolas Cozza\8f325097,DF,Montpellier,fr Ligue 1,30.8,6
703,Rodrigo De Paul\162efffd,MF,Atlético Madrid,es La Liga,23.9,6
704,Kiernan Dewsbury Hall\5c74c0f5,MF,Leicester City,eng Premier League,23.4,6
705,Habib Diallo\6605d143,FW,Strasbourg,fr Ligue 1,17.1,6
706,Naïs Djouahra\3594a357,FWMF,Real Sociedad,es La Liga,2.4,6
707,Kasper Dolberg\cc83b74d,FW,Nice,fr Ligue 1,16.6,6
708,Ondrej Duda\79ca3e23,MF,Köln,de Bundesliga,17.9,6
709,Youssef En-Nesyri\04e17fd5,FW,Sevilla,es La Liga,14.2,6
710,Ignatius Ganago\23c63b7f,FW,Lens,fr Ligue 1,11.4,6
711,Olivier Giroud\16ceb862,FW,Milan,it Serie A,21.0,6
712,Cedric Gondo\ff37d2ef,FW,Salernitana,it Serie A,7.8,6
713,Lamine Gueye\9d5dcc23,MFFW,Metz,fr Ligue 1,6.2,6
714,Ridgeciano Haps\c8d7131c,DF,Venezia,it Serie A,22.8,6
715,Patrick Herrmann\dfb6490a,DFFW,M'Gladbach,de Bundesliga,8.4,6
716,Dennis Jastrzembski\6bba916f,DFFW,Hertha BSC,de Bundesliga,2.5,6
717,Álvaro Jiménez\5f5501ed,MFFW,Cádiz,es La Liga,2.6,6
718,Stevan Jovetić\f36c432f,FW,Hertha BSC,de Bundesliga,11.3,6
719,Tino Kadewere\7d08063d,FW,Lyon,fr Ligue 1,5.6,6
720,Kevin Kampl\b825a650,MF,RB Leipzig,de Bundesliga,21.1,6
721,Mateusz Klich\282679b4,MF,Leeds United,eng Premier League,23.0,6
722,Ansgar Knauff\19a967ab,DF,Eint Frankfurt,de Bundesliga,8.4,6
723,Mateo Kovačić\79c0821a,MF,Chelsea,eng Premier League,17.3,6
724,Yasser Larouci\0ed063d6,DF,Troyes,fr Ligue 1,3.8,6
725,Enzo Le Fée\6f806d99,MFFW,Lorient,fr Ligue 1,24.4,6
726,Arne Maier\ab700320,MF,Augsburg,de Bundesliga,20.7,6
727,Rolando Mandragora\c7259b83,MF,Torino,it Serie A,14.7,6
728,Myziane Maolida\706a60e1,FWMF,Hertha BSC,de Bundesliga,8.6,6
729,Roger Martí\0ae4e09a,FW,Levante,es La Liga,23.5,6
730,Borja Mayoral\64e8ed6d,FW,Getafe,es La Liga,11.6,6
731,Jordi Mboula\4887118d,FW,Mallorca,es La Liga,4.8,6
732,Houboulang Mendes\1545cf15,DF,Lorient,fr Ligue 1,35.8,6
733,Édgar Méndez\aed746df,FWMF,Alavés,es La Liga,17.9,6
734,Luis Milla\19c36442,MF,Granada,es La Liga,29.9,6
735,Jorge Molina\43f71e77,FW,Granada,es La Liga,21.8,6
736,Ibrahima Niane\46faabfa,FW,Metz,fr Ligue 1,17.6,6
737,Håvard Nielsen\b18ef366,MFFW,Greuther Fürth,de Bundesliga,15.2,6
738,Fernando Niño\81d5c497,FW,Mallorca,es La Liga,9.8,6
739,Bastian Oczipka\d1661819,DF,Union Berlin,de Bundesliga,10.4,6
740,Isaac Palazón Camacho\49dbab27,FWMF,Rayo Vallecano,es La Liga,25.4,6
741,Facundo Pellistri\ac7e7b1c,MFFW,Alavés,es La Liga,7.5,6
742,Alberto Perea\5496cc91,MF,Cádiz,es La Liga,8.6,6
743,Andrea Petagna\03f946ed,FW,Napoli,it Serie A,6.5,6
744,Jens Petter Hauge\12c35abe,FWMF,Eint Frankfurt,de Bundesliga,11.6,6
745,Ignacio Pussetto\62437b4f,FWMF,Udinese,it Serie A,13.4,6
746,Przemysław Płacheta\3c33f9d9,FWMF,Norwich City,eng Premier League,5.6,6
747,Arkadiusz Reca\6213fd82,DF,Spezia,it Serie A,19.7,6
748,Gio Reyna\7fa4e703,MF,Dortmund,de Bundesliga,4.9,6
749,Valentin Rongier\ed45c4a5,DFMF,Marseille,fr Ligue 1,24.4,6
750,Jérôme Roussillon\13203c45,DF,Wolfsburg,de Bundesliga,19.7,6
751,Salvi\405f267a,MFFW,Cádiz,es La Liga,15.5,6
752,Junior Sambia\24eb7ed6,DFFW,Montpellier,fr Ligue 1,17.0,6
753,Nicola Sansone\7eb97a8e,FWMF,Bologna,it Serie A,10.0,6
754,Fábio Silva\e7aa9d7c,FW,Wolves,eng Premier League,6.4,6
755,Moussa Sissoko\2acd49b9,MF,Watford,eng Premier League,35.8,6
756,Andreas Skov Olsen\c50cee19,DFFW,Bologna,it Serie A,8.3,6
757,Carlos Soler\fed17f5a,MF,Valencia,es La Liga,27.5,6
758,Brandon Soppy\28f66c2e,DFMF,Udinese,it Serie A,8.6,6
759,Angelo Stiller\3b1ed320,MF,Hoffenheim,de Bundesliga,18.8,6
760,Dávid Strelec\2cb9486d,FWMF,Spezia,it Serie A,5.6,6
761,Khéphren Thuram-Ulie\7d9397f8,MF,Nice,fr Ligue 1,21.1,6
762,Sandro Tonali\0db169ae,MF,Milan,it Serie A,28.9,6
763,Myrto Uzuni\01da7812,MFFW,Granada,es La Liga,9.5,6
764,Mërgim Vojvoda\be2706c0,DF,Torino,it Serie A,22.0,6
765,Kyle Walker\86dd77d1,DF,Manchester City,eng Premier League,19.5,6
766,Brandon Williams\5e74d6c8,DF,Norwich City,eng Premier League,23.6,6
767,Yoane Wissa\2500cef9,FWMF,Brentford,eng Premier League,14.3,6
768,Andriy Yarmolenko\849c826a,FW,West Ham,eng Premier League,3.5,6
769,Ashley Young\be927d03,DFFW,Aston Villa,eng Premier League,13.9,6
770,Piotr Zieliński\a5296e55,MF,Napoli,it Serie A,23.2,6
771,Szymon Żurkowski\4e1d5e59,MF,Empoli,it Serie A,25.6,6
772,Filip Đuričić\eccbe56a,MFFW,Sassuolo,it Serie A,7.5,6
773,Ragnar Ache\dc38e3bc,MFFW,Eint Frankfurt,de Bundesliga,2.9,5
774,Anel Ahmedhodzic\eab957a3,DF,Bordeaux,fr Ligue 1,15.0,5
775,Nadiem Amiri\555d5edd,MFFW,Genoa,it Serie A,7.6,5
776,Andrés Andrade Cedeño\6ea23758,DF,Arminia,de Bundesliga,11.6,5
777,Simon Asta\dfc85b89,DF,Greuther Fürth,de Bundesliga,8.7,5
778,Sardar Azmoun\10549b49,FWMF,Leverkusen,de Bundesliga,4.0,5
779,Jóhann Berg Guðmundsson\f72293fc,MF,Burnley,eng Premier League,12.2,5
780,Giulian Biancone\de40e38c,DF,Troyes,fr Ligue 1,25.5,5
781,Herbert Bockhorn\5ad8c360,DF,Bochum,de Bundesliga,9.4,5
782,Maxime Busi\7b082ec2,DF,Reims,fr Ligue 1,14.4,5
783,Davide Calabria\2146785a,DF,Milan,it Serie A,23.5,5
784,Daniel Caligiuri\d1273f09,DFMF,Augsburg,de Bundesliga,22.3,5
785,Pierrick Capelle\79b2399c,MFDF,Angers,fr Ligue 1,13.3,5
786,Maxence Caqueret\f81ef10d,MF,Lyon,fr Ligue 1,25.9,5
787,Jonny Castro\e28868f3,DF,Wolves,eng Premier League,11.4,5
788,Ben Chilwell\d2424d1b,DF,Chelsea,eng Premier League,6.0,5
789,Philippe Coutinho\0ef89a37,MFFW,Barcelona,es La Liga,5.6,5
790,Lucas Da Cunha\007faf7a,MF,Nice,fr Ligue 1,4.4,5
791,Mikkel Damsgaard\215f3907,MFFW,Sampdoria,it Serie A,6.4,5
792,Mattia De Sciglio\ae4e2852,DF,Juventus,it Serie A,13.0,5
793,Rubén Duarte\1fe0492d,DF,Alavés,es La Liga,29.1,5
794,Leo Dubois\ff0ab48c,DF,Lyon,fr Ligue 1,19.4,5
795,Hugo Duro\37e103f8,FWMF,Valencia,es La Liga,20.4,5
796,Jean-Kevin Duverne\0cbc8baa,DF,Brest,fr Ligue 1,33.4,5
797,Tyronne Ebuehi\6af30900,DF,Venezia,it Serie A,12.6,5
798,Radamel Falcao\66116290,FW,Rayo Vallecano,es La Liga,9.3,5
799,Alexis Flips\caef7840,FWMF,Reims,fr Ligue 1,11.7,5
800,Juan Foyth\6c7762c3,DF,Villarreal,es La Liga,21.4,5
801,Remo Freuler\98d2c2c4,MF,Atalanta,it Serie A,26.3,5
802,Manolo Gabbiadini\8f866fe8,FWMF,Sampdoria,it Serie A,12.7,5
803,Pascal Groß\8aec0537,MFDF,Brighton,eng Premier League,22.6,5
804,Joško Gvardiol\5ad50391,DF,RB Leipzig,de Bundesliga,26.8,5
805,Massadio Haïdara\5167c97e,DF,Lens,fr Ligue 1,12.0,5
806,Silvan Hefti\f8342731,DF,Genoa,it Serie A,14.3,5
807,Benjamin Henrichs\0a89e877,DF,RB Leipzig,de Bundesliga,12.7,5
808,Henrique\f28474a4,DF,Lyon,fr Ligue 1,12.3,5
809,Matheus Henrique\a2d9f138,MF,Sassuolo,it Serie A,12.0,5
810,Lee Jae-sung\34b0387f,MFFW,Mainz 05,de Bundesliga,16.0,5
811,Curtis Jones\4fb9c88f,MF,Liverpool,eng Premier League,9.5,5
812,Pavel Kadeřábek\79c90e45,DF,Hoffenheim,de Bundesliga,13.3,5
813,Lee Kangin\8455ad90,MFFW,Mallorca,es La Liga,15.7,5
814,Wajdi Kechrida\11962fe7,DFMF,Salernitana,it Serie A,10.6,5
815,Franck Kessié\05e19d6a,MF,Milan,it Serie A,25.6,5
816,Fabian Klos\e21042ae,FW,Arminia,de Bundesliga,15.8,5
817,Ibrahima Koné\04bb2b06,FW,Lorient,fr Ligue 1,8.1,5
818,Rominigue Kouamé\86a2ba20,MF,Troyes,fr Ligue 1,33.0,5
819,Stefan Lainer\4aea5077,DF,M'Gladbach,de Bundesliga,16.3,5
820,Adam Lallana\99813635,MF,Brighton,eng Premier League,17.3,5
821,Jérémy Le Douaron\88c4d190,FW,Brest,fr Ligue 1,16.1,5
822,Jürgen Locadia\6cc47ae1,FWMF,Bochum,de Bundesliga,4.9,5
823,Yvann Macon\0bb6e193,DF,Saint-Étienne,fr Ligue 1,17.0,5
824,Nemanja Maksimović\00b28772,MF,Getafe,es La Liga,32.6,5
825,Ricardo Mangas\eef2d8ce,DF,Bordeaux,fr Ligue 1,26.1,5
826,Adam Marušić\d4535821,DF,Lazio,it Serie A,30.2,5
827,Kevin Mbabu\493924a7,DF,Wolfsburg,de Bundesliga,15.5,5
828,Filippo Melegoni\6604165d,FWMF,Genoa,it Serie A,10.9,5
829,Marco Meyerhöfer\0b104510,DF,Greuther Fürth,de Bundesliga,25.3,5
830,Valentin Mihaila\81a4c239,FWMF,Atalanta,it Serie A,0.8,5
831,William Mikelbrencis\14df1d7f,DF,Metz,fr Ligue 1,6.8,5
832,Pere Milla\335039a2,FWMF,Elche,es La Liga,18.3,5
833,Alberto Moreno\11b9265b,MFDF,Villarreal,es La Liga,13.6,5
834,Lebo Mothiba\3eaf8817,FWMF,Troyes,fr Ligue 1,5.8,5
835,Steve Mounié\19ba6c6d,FW,Brest,fr Ligue 1,25.7,5
836,M'Baye Niang\2054d037,FW,Bordeaux,fr Ligue 1,8.6,5
837,Nolito\b2d0ec1b,MF,Celta Vigo,es La Liga,15.4,5
838,Brian Oliván\a3e4bf46,DF,Mallorca,es La Liga,24.3,5
839,Alex Oxlade-Chamberlain\38c7feef,MFFW,Liverpool,eng Premier League,8.7,5
840,Fabiano Parisi\0967845b,DF,Empoli,it Serie A,16.4,5
841,Pedri\0d9b2d31,MF,Barcelona,es La Liga,9.8,5
842,Pere Pons\29b61deb,MF,Alavés,es La Liga,15.2,5
843,Connor Roberts\24fae784,DF,Burnley,eng Premier League,18.8,5
844,Oriol Romeu\4b511457,MF,Southampton,eng Premier League,32.1,5
845,Antonio Sánchez\a254bbe0,MFFW,Mallorca,es La Liga,18.0,5
846,Paul Seguin\8872ed17,MF,Greuther Fürth,de Bundesliga,23.4,5
847,Ken Sema\1770bd68,MFFW,Watford,eng Premier League,9.5,5
848,Ellyes Skhiri\c2211709,MF,Köln,de Bundesliga,20.2,5
849,Oliver Skipp\6250083a,MF,Tottenham,eng Premier League,15.0,5
850,Robert Skov\ff98492b,DFFW,Hoffenheim,de Bundesliga,4.1,5
851,Danilo Soares\c05f2f8c,DF,Bochum,de Bundesliga,28.5,5
852,Roberto Soldado\9d66fbe3,FW,Levante,es La Liga,7.4,5
853,Sambou Soumano\7cc00776,FW,Lorient,fr Ligue 1,5.0,5
854,Anton Stach\0f59a7bf,MF,Mainz 05,de Bundesliga,20.7,5
855,Renato Steffen\dd669209,FWMF,Wolfsburg,de Bundesliga,10.7,5
856,Stefano Sturaro\2334478a,MF,Genoa,it Serie A,19.6,5
857,Óliver Torres\58a9a4d9,MFFW,Sevilla,es La Liga,11.2,5
858,Bertrand Traoré\c47541e0,MFFW,Aston Villa,eng Premier League,2.4,5
859,Enes Ünal\f8eca1b6,FW,Getafe,es La Liga,31.1,5
860,Jordan Veretout\4a56052c,MF,Roma,it Serie A,25.8,5
861,Aleix Vidal\04965583,DFMF,Espanyol,es La Liga,21.1,5
862,Emanuel Vignato\ec5dae45,MFDF,Bologna,it Serie A,6.6,5
863,Wout Weghorst\c4e87b8b,FW,Wolfsburg,de Bundesliga,17.3,5
864,Mattia Zaccagni\d85c238b,MFFW,Hellas Verona,it Serie A,2.0,5
865,Andi Zeqiri\d01231f0,FWMF,Augsburg,de Bundesliga,11.3,5
866,Salis Abdul Samed\82464ce3,MF,Clermont Foot,fr Ligue 1,27.4,4
