Rk,Player,Pos,Squad,Comp,90s,CPA
2888,Nikola Vukčević\4442fbcd,MF,Levante,es La Liga,1.3,0
2889,Matěj Vydra\0d4ceb32,FW,Burnley,eng Premier League,7.5,0
2890,Walace\26db8853,MF,Udinese,it Serie A,33.0,0
2891,Sebastian Walukiewicz\217875a4,DF,Cagliari,it Serie A,3.4,0
2892,Paul Wanner\cb64672e,FWMF,Bayern Munich,de Bundesliga,0.4,0
2893,Danny Ward\d3ce0e89,GK,Leicester City,eng Premier League,1.0,0
2894,Daniel Wass\d83bbc54,DF,Atlético Madrid,es La Liga,0.5,0
2895,Marten Winkler\e0d515ef,MF,Hertha BSC,de Bundesliga,0.3,0
2896,Frederik Winther\a1257b5e,DF,Augsburg,de Bundesliga,3.6,0
2897,Freddie Woodman\19e50035,GK,Newcastle Utd,eng Premier League,4.0,0
2898,Joscha Wosz\80c9e555,DF,RB Leipzig,de Bundesliga,0.1,0
2899,Sekou Yansané\bce37ac0,FW,Paris S-G,fr Ligue 1,0.2,0
2900,Gerard Yepes\ee9040b4,MFDF,Sampdoria,it Serie A,0.2,0
2901,Okay Yokuşlu\e49ce451,DFMF,Getafe,es La Liga,5.2,0
2902,Okay Yokuşlu\e49ce451,DFMF,Celta Vigo,es La Liga,1.6,0
2903,Leny Yoro\6763f716,MF,Lille,fr Ligue 1,0.1,0
2904,Maya Yoshida\caffaf5a,DF,Sampdoria,it Serie A,20.3,0
2905,Nathan Young-Coombes\f9682888,FW,Brentford,eng Premier League,0.0,0
2906,Dan-Axel Zagadou\a4effc55,DF,Dortmund,de Bundesliga,10.6,0
2907,Joseba Zaldúa\5ca20b7a,DF,Real Sociedad,es La Liga,13.0,0
2908,Alessandro Zanoli\3b12b11f,DF,Napoli,it Serie A,5.1,0
2909,Mattia Zanotti\875d65d1,DF,Inter,it Serie A,0.1,0
2910,Simone Zaza\9592289a,FWMF,Torino,it Serie A,1.4,0
2911,Marvin Zeegelaar\8abd0c03,DF,Udinese,it Serie A,7.1,0
2912,Robin Zentner\5c4bf6ba,GK,Mainz 05,de Bundesliga,32.0,0
2913,Mehdi Zerkane\53f6306f,MFDF,Bordeaux,fr Ligue 1,0.9,0
2914,Luca Zidane\c818c4d9,GKMF,Rayo Vallecano,es La Liga,7.2,0
2915,Christoph Zimmermann\2d5f03bf,DF,Norwich City,eng Premier League,1.7,0
2916,Jeroen Zoet\cc1a0c57,GK,Spezia,it Serie A,7.0,0
2917,Banhie Zoukrou\aefa3050,DF,Troyes,fr Ligue 1,0.9,0
2918,Kurt Zouma\ce4246f5,DF,West Ham,eng Premier League,23.1,0
2919,Petar Zovko\54f6afe3,GK,Spezia,it Serie A,0.3,0
2920,Igor Zubeldia\5c7845f6,DF,Real Sociedad,es La Liga,18.3,0
2921,Martín Zubimendi\3ee0dd59,MF,Real Sociedad,es La Liga,28.8,0
