Rk,Player,Pos,Squad,Comp,90s,1/3
579,Pablo Rosario\1a6b7ea4,MF,Nice,fr Ligue 1,30.3,28
580,Suat Serdar\b3325a30,MFFW,Hertha BSC,de Bundesliga,24.6,28
581,Salva Sevilla\75bd85ea,MF,Mallorca,es La Liga,16.7,28
582,Djibril Sow\4c6facae,MF,Eint Frankfurt,de Bundesliga,26.8,28
583,Joel Ward\8a7ff278,DF,Crystal Palace,eng Premier League,27.6,28
584,James Ward-Prowse\3515d404,MF,Southampton,eng Premier League,35.7,28
585,Joe Willock\a3b03921,MF,Newcastle Utd,eng Premier League,22.6,28
586,Patrick Wimmer\cb11b429,FWMF,Arminia,de Bundesliga,22.8,28
587,Kristoffer Ajer\a8c0acb7,DF,Brentford,eng Premier League,22.2,27
588,Rafael Borré\c68da769,FW,Eint Frankfurt,de Bundesliga,26.4,27
589,Hicham Boudaoui\f9d5908e,MF,Nice,fr Ligue 1,18.0,27
590,Nicolò Casale\3f5f38fb,DF,Hellas Verona,it Serie A,28.7,27
591,Timothy Castagne\197640fd,DF,Leicester City,eng Premier League,23.6,27
592,Idrissa Gana Gueye\72c812f3,MF,Paris S-G,fr Ligue 1,18.2,27
593,Liam Henderson\d7918b13,MF,Empoli,it Serie A,22.4,27
594,Roger Ibanez\82efe6fa,DF,Roma,it Serie A,32.1,27
595,Naby Keïta\f25c8e3a,MF,Liverpool,eng Premier League,13.0,27
596,Konrad Laimer\c1b7847c,MF,RB Leipzig,de Bundesliga,13.8,27
597,Darwin Machís\ed6ea4d9,MFFW,Granada,es La Liga,15.3,27
598,Yvann Macon\0bb6e193,DF,Saint-Étienne,fr Ligue 1,17.0,27
599,Kevin Mbabu\493924a7,DF,Wolfsburg,de Bundesliga,15.5,27
600,Thomas Monconduit\84d94b91,MF,Lorient,fr Ligue 1,25.0,27
601,Karim Onisiwo\f26834c7,FW,Mainz 05,de Bundesliga,26.2,27
602,Niklas Süle\e33c06cf,DF,Bayern Munich,de Bundesliga,20.4,27
603,Takehiro Tomiyasu\b3af9be1,DF,Arsenal,eng Premier League,18.7,27
604,Francisco Trincão\77e39b04,FWMF,Wolves,eng Premier League,14.8,27
605,Timothy Weah\8eec784d,MFFW,Lille,fr Ligue 1,18.0,27
606,Nico Williams\afdc14d7,MF,Athletic Club,es La Liga,14.9,27
607,Takuma Asano\13ddc856,FWMF,Bochum,de Bundesliga,17.9,26
608,Taiwo Awoniyi\e5478b87,FW,Union Berlin,de Bundesliga,24.2,26
609,Héctor Bellerín\f874dd44,DF,Betis,es La Liga,22.0,26
610,Jason Berthomier\03e91055,MF,Clermont Foot,fr Ligue 1,19.2,26
611,Joaquín Correa\45b9b619,FW,Inter,it Serie A,11.4,26
612,Nicolas Cozza\8f325097,DF,Montpellier,fr Ligue 1,30.8,26
613,Domenico Criscito\35dd6d80,DF,Genoa,it Serie A,18.0,26
614,Danilo\94b2001f,DFMF,Juventus,it Serie A,21.0,26
615,Alberth Elis\104b4ad3,FWMF,Bordeaux,fr Ligue 1,15.7,26
616,Nicolás González\2c56a792,MF,Barcelona,es La Liga,12.4,26
617,Leon Goretzka\cc86b9a3,MF,Bayern Munich,de Bundesliga,15.5,26
618,Antoine Griezmann\df69b544,FWMF,Atlético Madrid,es La Liga,18.8,26
619,Daniel James\c931d9f9,FWMF,Leeds United,eng Premier League,26.3,26
620,Joan Jordán\2a0c8ba4,MF,Sevilla,es La Liga,27.9,26
621,Max Kilman\d0f72bf1,DF,Wolves,eng Premier League,29.9,26
622,Dodi Lukebakio\0c61c77c,FWMF,Wolfsburg,de Bundesliga,9.8,26
623,Hugo Mallo\cb574619,DF,Celta Vigo,es La Liga,20.3,26
624,Christian Nørgaard\df0a4c90,MF,Brentford,eng Premier League,33.9,26
625,Remi Oudin\ea02beaf,MFFW,Bordeaux,fr Ligue 1,19.3,26
626,Timothee Pembele\f8ce97ca,DF,Bordeaux,fr Ligue 1,15.7,26
627,Gastón Pereiro\7ec7738e,FWMF,Cagliari,it Serie A,10.8,26
628,Giuseppe Pezzella\149c5f5d,DF,Atalanta,it Serie A,11.9,26
629,Marko Pjaca\2c38b327,MFFW,Torino,it Serie A,12.8,26
630,Rafinha\0c2ac3cb,MFFW,Real Sociedad,es La Liga,11.7,26
631,Marco Richter\f972644c,FWMF,Hertha BSC,de Bundesliga,18.9,26
632,Renaud Ripart\beae3a73,FWDF,Troyes,fr Ligue 1,21.0,26
633,Julian Ryerson\009a4f60,DF,Union Berlin,de Bundesliga,15.9,26
634,Manuel Sánchez\ffacd3d5,DF,Osasuna,es La Liga,25.1,26
635,Gianluca Scamacca\8790f988,FW,Sassuolo,it Serie A,23.8,26
636,Mark Uth\a3ddb1b9,MFFW,Köln,de Bundesliga,22.5,26
637,José Luis García Vayá\27dc1378,MF,Levante,es La Liga,22.4,26
638,Simone Verdi\0375723e,FWMF,Salernitana,it Serie A,9.2,26
639,Kevin Volland\64f69877,MFFW,Monaco,fr Ligue 1,27.1,26
640,Marius Wolf\fa661778,DFFW,Dortmund,de Bundesliga,14.7,26
641,Carles Aleñá\6c811eb7,MF,Getafe,es La Liga,25.8,25
642,Ethan Ampadu\10b9fa99,MFDF,Venezia,it Serie A,25.4,25
