Rk,Player,Pos,Squad,Comp,90s,1/3
643,Maximilian Arnold\86e119e0,MF,Wolfsburg,de Bundesliga,33.3,25
644,Ezequiel Ávila\253a06b9,FWMF,Osasuna,es La Liga,20.8,25
645,Milan Badelj\e8c930bb,MF,Genoa,it Serie A,31.6,25
646,Casemiro\4d224fe8,MF,Real Madrid,es La Liga,28.5,25
647,Álex Collado\85dace26,MFFW,Granada,es La Liga,11.3,25
648,Abdu Conté\cfa49cc1,DF,Troyes,fr Ligue 1,15.0,25
649,Lucas Digne\1b84dbe1,DF,Everton,eng Premier League,13.0,25
650,Denzel Dumfries\481c9ece,DF,Inter,it Serie A,22.5,25
651,Niko Gießelmann\7242b495,DF,Union Berlin,de Bundesliga,23.1,25
652,Henrique\f28474a4,DF,Lyon,fr Ligue 1,12.3,25
653,Callum Hudson-Odoi\15f3ec41,FWMF,Chelsea,eng Premier League,10.7,25
654,Lee Jae-sung\34b0387f,MFFW,Mainz 05,de Bundesliga,16.0,25
655,Gaëtan Laborde\7cdda3bf,FW,Rennes,fr Ligue 1,30.3,25
656,Pierre Lees-Melou\f5044e54,MF,Norwich City,eng Premier League,25.2,25
657,Arne Maier\ab700320,MF,Augsburg,de Bundesliga,20.7,25
658,Reinildo Mandava\c20bdcd7,DF,Lille,fr Ligue 1,16.9,25
659,Omar Marmoush\0e0102eb,FWMF,Stuttgart,de Bundesliga,17.5,25
660,Konstantinos Mavropanos\00963611,DF,Stuttgart,de Bundesliga,30.1,25
661,Pasquale Mazzocchi\eb0ec070,DF,Venezia,it Serie A,13.8,25
662,James McArthur\cee31595,MF,Crystal Palace,eng Premier League,16.0,25
663,Batista Mendy\e472a6f6,MFDF,Angers,fr Ligue 1,26.8,25
664,Jorge Miramón\7f4c7c9f,DF,Levante,es La Liga,22.0,25
665,Dani Olmo\ae44e8e2,MF,RB Leipzig,de Bundesliga,8.3,25
666,Victor Osimhen\8c90fd7a,FW,Napoli,it Serie A,22.0,25
667,Lucas Perrin\49070d66,DF,Strasbourg,fr Ligue 1,27.8,25
668,Teemu Pukki\0745b37d,FW,Norwich City,eng Premier League,36.1,25
669,Christian Pulisic\1bf33a9a,MFFW,Chelsea,eng Premier League,14.3,25
670,Ibrahima Sissoko\0f8418aa,MFDF,Strasbourg,fr Ligue 1,25.6,25
671,Carlos Soler\fed17f5a,MF,Valencia,es La Liga,27.5,25
672,Son\037dbd30,DF,Levante,es La Liga,21.9,25
673,Andros Townsend\b28bbd58,MF,Everton,eng Premier League,16.2,25
674,Enes Ünal\f8eca1b6,FW,Getafe,es La Liga,31.1,25
675,Lucas Vázquez\fd51b456,DF,Real Madrid,es La Liga,20.4,25
676,Unai Vencedor Paris\4112ace5,MF,Athletic Club,es La Liga,26.5,25
677,Daniele Verde\d3298c99,FWMF,Spezia,it Serie A,21.7,25
678,Burak Yılmaz\165a2e40,FW,Lille,fr Ligue 1,24.6,25
679,Hakim Ziyech\6622454d,FWMF,Chelsea,eng Premier League,14.7,25
680,Yunis Abdelhamid\32c2d95f,DF,Reims,fr Ligue 1,33.1,24
681,Amine Adli\dcfb17f4,FWMF,Leverkusen,de Bundesliga,14.0,24
682,Mauro Arambarri\58afe001,MF,Getafe,es La Liga,29.6,24
683,Mattia Aramu\0847b5a5,MFFW,Venezia,it Serie A,23.3,24
684,Fran Beltrán\ed5c5fa3,MF,Celta Vigo,es La Liga,28.9,24
685,Wissam Ben Yedder\942b4f90,FW,Monaco,fr Ligue 1,28.1,24
686,Jeremie Boga\fe012aca,FWMF,Sassuolo,it Serie A,7.4,24
687,Federico Ceccherini\d9624b51,DF,Hellas Verona,it Serie A,26.2,24
688,Domen Črnigoj\22cd43d2,MFDF,Venezia,it Serie A,20.9,24
689,Mahmoud Dahoud\db4ed67b,MF,Dortmund,de Bundesliga,18.4,24
690,Diogo Dalot\d9565625,DF,Manchester Utd,eng Premier League,20.0,24
691,Djené\a4971d84,DF,Getafe,es La Liga,34.6,24
692,Gabriel Dos Santos\67ac5bb8,DF,Arsenal,eng Premier League,34.0,24
693,Lucas Douath\3cd7820a,MF,Saint-Étienne,fr Ligue 1,20.0,24
694,Fábio\bc7b4580,DF,Nantes,fr Ligue 1,18.5,24
695,Robert Gumny\1df0c0b9,DF,Augsburg,de Bundesliga,25.2,24
696,Kai Havertz\fed7cb61,FWMF,Chelsea,eng Premier League,20.1,24
697,Pierre Kalulu\85f7d1be,DF,Milan,it Serie A,21.6,24
698,Joshua King\43458538,FW,Watford,eng Premier League,25.0,24
699,Robert Lewandowski\8d78e732,FW,Bayern Munich,de Bundesliga,32.7,24
700,Ademola Lookman\7c104bb7,FWMF,Leicester City,eng Premier League,16.1,24
701,Kenny McLean\471f16b3,MF,Norwich City,eng Premier League,30.1,24
702,Obite N'Dicka\441197b8,DF,Eint Frankfurt,de Bundesliga,31.7,24
703,Paul Pogba\867239d3,MFFW,Manchester Utd,eng Premier League,15.0,24
704,Grischa Prömel\924f9191,MF,Union Berlin,de Bundesliga,26.9,24
705,Rodrigo\85bed4ee,FW,Betis,es La Liga,9.8,24
706,William Saliba\972aeb2a,DF,Marseille,fr Ligue 1,36.0,24
707,Roland Sallai\bf075f6b,MFFW,Freiburg,de Bundesliga,17.2,24
708,Paul Seguin\8872ed17,MF,Greuther Fürth,de Bundesliga,23.4,24
709,Thiago Silva\86e7deaf,DF,Chelsea,eng Premier League,29.4,24
710,John Stones\5eecec3d,DF,Manchester City,eng Premier League,12.4,24
711,Ollie Watkins\aed3a70f,FW,Aston Villa,eng Premier League,32.8,24
712,Nicola Zalewski\45191c29,DF,Roma,it Serie A,8.8,24
713,Robert Andrich\e0b113a7,MF,Leverkusen,de Bundesliga,20.2,23
714,Lucas Boyé\d49f3e6b,FW,Elche,es La Liga,19.0,23
715,Armando Broja\97220da2,FW,Southampton,eng Premier League,21.9,23
716,Emre Can\a65ce836,DFMF,Dortmund,de Bundesliga,18.8,23
717,Andrea Carboni\f7e2af2c,DF,Cagliari,it Serie A,24.6,23
718,Igor Carioca\e3e32fbb,DF,Lorient,fr Ligue 1,17.5,23
719,Fabien Centonze\3c6bbbab,DF,Metz,fr Ligue 1,17.6,23
720,Pedro Chirivella\68a26d51,MF,Nantes,fr Ligue 1,29.3,23
721,Sébastien Corchia\0e7ccfc4,DF,Nantes,fr Ligue 1,14.7,23
722,Romain Del Castillo\0be95d34,MFFW,Brest,fr Ligue 1,10.8,23
723,Lucas Digne\1b84dbe1,DF,Aston Villa,eng Premier League,14.1,23
724,Fabinho\7f3b388c,MF,Liverpool,eng Premier League,25.7,23
725,Davide Faraoni\aae9d04a,DF,Hellas Verona,it Serie A,28.6,23
726,Alessandro Florenzi\e288d4b3,DFFW,Milan,it Serie A,12.8,23
727,Iñigo Ruiz de Galarreta\91f7631f,MF,Mallorca,es La Liga,15.3,23
728,Ben Godfrey\9f7c837d,DF,Everton,eng Premier League,22.5,23
729,Alberto Grassi\6cc97b6a,MF,Cagliari,it Serie A,24.2,23
730,Bruno Guimarães\82518f62,MF,Newcastle Utd,eng Premier League,11.5,23
731,Robin Hack\0174ba21,FWMF,Arminia,de Bundesliga,15.2,23
732,Amadou Haidara\92432bc6,MF,RB Leipzig,de Bundesliga,14.7,23
733,Thorgan Hazard\50871bcc,FWDF,Dortmund,de Bundesliga,14.9,23
734,Gabriel Jesus\b66315ae,FW,Manchester City,eng Premier League,20.9,23
735,Raúl Jiménez\b561db50,FW,Wolves,eng Premier League,29.2,23
736,Curtis Jones\4fb9c88f,MF,Liverpool,eng Premier League,9.5,23
737,Stevan Jovetić\f36c432f,FW,Hertha BSC,de Bundesliga,11.3,23
738,Emil Krafth\77cf6852,DF,Newcastle Utd,eng Premier League,18.2,23
739,Enock Kwateng\4bf69118,DF,Bordeaux,fr Ligue 1,22.2,23
740,Érik Lamela\abe66106,FW,Sevilla,es La Liga,11.3,23
741,Mario Lemina\2b471f99,MF,Nice,fr Ligue 1,21.9,23
742,Giovani Lo Celso\d7553721,MFFW,Villarreal,es La Liga,11.0,23
743,Manuel Locatelli\a8a874f1,MF,Juventus,it Serie A,24.0,23
744,Nemanja Maksimović\00b28772,MF,Getafe,es La Liga,32.6,23
745,Marcelo\603116a7,DF,Real Madrid,es La Liga,4.9,23
746,Éder Militão\2784f898,DF,Real Madrid,es La Liga,33.7,23
747,Jacob Murphy\de112b84,FWDF,Newcastle Utd,eng Premier League,16.4,23
748,Eddie Nketiah\a53649b7,FW,Arsenal,eng Premier League,9.3,23
749,Nolito\b2d0ec1b,MF,Celta Vigo,es La Liga,15.4,23
750,Vincent Pajot\f86ca403,MF,Metz,fr Ligue 1,25.7,23
751,Matteo Politano\5e861944,FW,Napoli,it Serie A,18.3,23
752,Mama Samba Baldé\fb14aa28,FWMF,Troyes,fr Ligue 1,19.1,23
753,Mohamed Simakan\fcb27134,DF,RB Leipzig,de Bundesliga,22.3,23
754,Arthur Theate\df8d6029,DF,Bologna,it Serie A,26.9,23
755,Óliver Torres\58a9a4d9,MFFW,Sevilla,es La Liga,11.2,23
756,Lucas Tousart\71ec39ef,MF,Hertha BSC,de Bundesliga,21.8,23
757,Joël Veltman\dad4b285,DF,Brighton,eng Premier League,31.9,23
758,Matías Viña\08eb3b58,DF,Roma,it Serie A,17.4,23
759,Šime Vrsaljko\46a8347f,DF,Atlético Madrid,es La Liga,10.2,23
760,Jeong Woo-yeong\6190474d,FWMF,Freiburg,de Bundesliga,19.8,23
761,Denis Zakaria\384d58d9,MFDF,M'Gladbach,de Bundesliga,15.5,23
762,Rayan Aït Nouri\9b398aea,DF,Wolves,eng Premier League,20.3,22
763,Iddrisu Baba\bfd381b3,MF,Mallorca,es La Liga,21.5,22
764,Rodrigo Becão\19e4eab9,DF,Udinese,it Serie A,34.8,22
765,Beto\ed5c0319,FW,Udinese,it Serie A,24.1,22
766,Isaac Carcelen\c4b888df,DFMF,Cádiz,es La Liga,17.2,22
767,Philippe Coutinho\0ef89a37,MFFW,Barcelona,es La Liga,5.6,22
768,Lucas Da Cunha\007faf7a,FWMF,Clermont Foot,fr Ligue 1,9.3,22
769,Rúben Dias\31c69ef1,DF,Manchester City,eng Premier League,26.7,22
770,Berat Djimsiti\6eee05f1,DF,Atalanta,it Serie A,25.1,22
771,Fernando\41f32541,MFDF,Sevilla,es La Liga,20.6,22
772,Ryan Fraser\d56543a0,FWMF,Newcastle Utd,eng Premier League,16.3,22
773,Dalbert Henrique\f45f9427,DFMF,Cagliari,it Serie A,23.1,22
774,Gaël Kakuta\5b1bf5e3,MFFW,Lens,fr Ligue 1,18.6,22
775,Kouadio Koné\86574238,MF,M'Gladbach,de Bundesliga,24.3,22
776,Jamie Leweling\13fe7b69,FWDF,Greuther Fürth,de Bundesliga,21.8,22
777,Hugo Magnetti\d4d35152,MF,Brest,fr Ligue 1,16.3,22
778,Lautaro Martínez\f7036e1c,FW,Inter,it Serie A,25.4,22
779,Nuno Mendes\f20e4cc9,DF,Paris S-G,fr Ligue 1,18.4,22
780,Gerard Moreno\81f0781e,FW,Villarreal,es La Liga,13.2,22
781,Tete Morente\004d185e,MFFW,Elche,es La Liga,18.1,22
782,Lukas Nmecha\0cc5f4a5,FWMF,Wolfsburg,de Bundesliga,18.1,22
783,Andrea Pinamonti\08aa9cd1,FW,Empoli,it Serie A,31.9,22
784,Ivan Rakitić\89f951b5,MF,Sevilla,es La Liga,24.2,22
785,Diego Rico\d9ba39fc,DF,Real Sociedad,es La Liga,18.3,22
786,Óscar Rodríguez Arnaiz\19709006,MFFW,Getafe,es La Liga,10.5,22
787,Jérôme Roussillon\13203c45,DF,Wolfsburg,de Bundesliga,19.7,22
788,Albert Sambi Lokonga\1b4f1169,MF,Arsenal,eng Premier League,12.6,22
789,Davinson Sánchez\da7b447d,DF,Tottenham,eng Premier League,18.1,22
790,Timothy Tillman\a5bea1fb,MF,Greuther Fürth,de Bundesliga,22.3,22
791,Rafael Tolói\c56dc39e,DF,Atalanta,it Serie A,16.0,22
792,Adam Webster\c40b6180,DF,Brighton,eng Premier League,15.9,22
793,Zaydou Youssouf\e2f9bb5f,MF,Saint-Étienne,fr Ligue 1,17.3,22
794,Ludovic Ajorque\462475ed,FW,Strasbourg,fr Ligue 1,30.4,21
795,José Ángel\3024e383,DF,Osasuna,es La Liga,12.0,21
796,Daniel Bessa\88895312,MFFW,Hellas Verona,it Serie A,8.5,21
797,Danilo Cataldi\ba3d3bea,MF,Lazio,it Serie A,19.0,21
798,Xavier Chavalerin\279ddf6a,MFFW,Troyes,fr Ligue 1,30.2,21
799,Mattia De Sciglio\ae4e2852,DF,Juventus,it Serie A,13.0,21
800,Abdou Diallo\fc62f087,DF,Paris S-G,fr Ligue 1,9.7,21
801,Odsonne Édouard\0562b7f1,FW,Crystal Palace,eng Premier League,17.4,21
802,Maximilian Eggestein\beb882a8,MF,Freiburg,de Bundesliga,24.4,21
803,Salvador Ferrer\eb76987d,DFMF,Spezia,it Serie A,16.6,21
804,Óscar Gil\6652cf96,DF,Espanyol,es La Liga,18.8,21
805,Marc Guéhi\d0706b27,DF,Crystal Palace,eng Premier League,35.8,21
806,Pape Gueye\7155e3e1,MF,Marseille,fr Ligue 1,17.0,21
807,Nicolas Höfler\5d8e331f,MF,Freiburg,de Bundesliga,28.9,21
808,Jonathan Ikone\42eaa028,MFFW,Lille,fr Ligue 1,11.8,21
809,Gian-Luca Itter\e6c15f6e,DF,Greuther Fürth,de Bundesliga,16.2,21
810,Renan Lodi\ed9f7cfe,DF,Atlético Madrid,es La Liga,13.1,21
811,Unai López\88050721,MF,Rayo Vallecano,es La Liga,12.9,21
812,Douglas Luiz\6f7d826d,MF,Aston Villa,eng Premier League,30.2,21
813,Solly March\bb5fbd2b,DFFW,Brighton,eng Premier League,19.4,21
814,Marquinhos\d5f2f82b,DF,Paris S-G,fr Ligue 1,31.8,21
815,Aarón Martín\2f3e911a,DF,Mainz 05,de Bundesliga,25.5,21
816,Lucas Martínez Quarta\3ec3c1c9,DF,Fiorentina,it Serie A,15.9,21
817,Pasquale Mazzocchi\eb0ec070,DF,Salernitana,it Serie A,14.1,21
818,Jon Moncayola\9939e168,MF,Osasuna,es La Liga,32.4,21
819,Nordi Mukiele\ac73ec79,DF,RB Leipzig,de Bundesliga,20.5,21
820,Romain Perraud\6dfd8f05,DF,Southampton,eng Premier League,18.0,21
821,Luca Ranieri\8c63fae5,DF,Salernitana,it Serie A,23.4,21
822,Richarlison\fa031b34,FWMF,Everton,eng Premier League,28.0,21
823,Guido Rodríguez\34e393f2,MF,Betis,es La Liga,28.1,21
824,Cristian Romero\a3d94a58,DF,Tottenham,eng Premier League,20.5,21
825,Nicolò Rovella\e58cbfd5,MF,Genoa,it Serie A,16.3,21
826,Sada Thioub\f4bc42b1,DF,Saint-Étienne,fr Ligue 1,10.6,21
827,Ferrán Torres\9e1035f8,FW,Barcelona,es La Liga,15.7,21
828,Tuta\35d64857,DF,Eint Frankfurt,de Bundesliga,24.3,21
829,Kevin Vázquez\ee923664,DF,Celta Vigo,es La Liga,14.8,21
830,Nacho Vidal\3a9c4b7b,DF,Osasuna,es La Liga,32.2,21
831,Daniel Wass\d83bbc54,MF,Valencia,es La Liga,17.6,21
832,Salis Abdul Samed\82464ce3,MF,Clermont Foot,fr Ligue 1,27.4,20
833,Francesco Acerbi\b96b595c,DF,Lazio,it Serie A,28.2,20
834,Kevin Akpoguma\6ec6fde0,DF,Hoffenheim,de Bundesliga,17.0,20
835,Dennis Appiah\feb5d3ab,DF,Nantes,fr Ligue 1,23.3,20
836,Mikel Balenziaga\1fe67e86,DF,Athletic Club,es La Liga,22.5,20
837,Leandro Barreiro Martins\00242b75,MF,Mainz 05,de Bundesliga,19.9,20
838,Ihlas Bebou\a53b661f,FWDF,Hoffenheim,de Bundesliga,23.2,20
839,Karim Bellarabi\bee0bab1,FWDF,Leverkusen,de Bundesliga,7.6,20
840,Ramy Bensebaini\378825c7,DF,M'Gladbach,de Bundesliga,22.4,20
841,Rodrigo Bentancur\3b8674e6,MF,Tottenham,eng Premier League,15.1,20
842,Rodrigo Bentancur\3b8674e6,MF,Juventus,it Serie A,12.8,20
843,Maxime Busi\7b082ec2,DF,Reims,fr Ligue 1,14.4,20
844,Caleb Ekuban\7afbd2c3,FWMF,Genoa,it Serie A,19.1,20
845,Dennis Geiger\37f606f0,MF,Hoffenheim,de Bundesliga,15.3,20
846,Arnaut Groeneveld\f08490a6,FW,Villarreal,es La Liga,16.4,20
847,Silvan Hefti\f8342731,DF,Genoa,it Serie A,14.3,20
848,Josip Iličić\68252d6d,FWMF,Atalanta,it Serie A,9.3,20
849,Vitaly Janelt\8449d35e,MF,Brentford,eng Premier League,25.5,20
850,Mathias Jensen\0f134faf,MF,Brentford,eng Premier League,17.8,20
851,Ben Johnson\9319781b,DF,West Ham,eng Premier League,15.5,20
852,Josan\5b28b2f6,DFMF,Elche,es La Liga,13.5,20
853,Hassane Kamara\19a12bed,MFDF,Nice,fr Ligue 1,6.0,20
854,Geoffrey Kondogbia\cce181df,MFDF,Atlético Madrid,es La Liga,20.9,20
855,Adam Lallana\99813635,MF,Brighton,eng Premier League,17.3,20
856,Matthew Lowton\9a9c05db,DF,Burnley,eng Premier League,19.7,20
857,Charalambos Lykogiannis\5efc5389,DF,Cagliari,it Serie A,20.2,20
858,Roger Martí\0ae4e09a,FW,Levante,es La Liga,23.5,20
859,Santi Mina\0b90bb97,FW,Celta Vigo,es La Liga,26.3,20
860,Papa Ndiaga Yade\87e9c7cd,DFMF,Metz,fr Ligue 1,7.7,20
861,Helibelton Palacios\ac8b2421,DF,Elche,es La Liga,21.5,20
862,Danilo Pereira\8fd9996f,MF,Paris S-G,fr Ligue 1,22.6,20
863,Elba Rashani\25749008,FWMF,Clermont Foot,fr Ligue 1,19.5,20
864,Marcus Rashford\a1d5bd30,FWMF,Manchester Utd,eng Premier League,13.7,20
865,Baptiste Santamaria\5e22e2a4,MFDF,Rennes,fr Ligue 1,28.0,20
866,Joe Scally\236f02cd,DF,M'Gladbach,de Bundesliga,21.2,20
867,Louis Schaub\b50ec54b,MFFW,Köln,de Bundesliga,7.3,20
868,Stefano Sensi\b70bde8f,MF,Sampdoria,it Serie A,8.4,20
869,Andreas Skov Olsen\c50cee19,DFFW,Bologna,it Serie A,8.3,20
870,Jean-Clair Todibo\88f130ed,DF,Nice,fr Ligue 1,34.6,20
871,Lucas Torreira\52611641,MF,Fiorentina,it Serie A,24.4,20
872,Boubacar Traoré\999ceb5f,MF,Metz,fr Ligue 1,19.2,20
873,Ashley Westwood\495945ef,MF,Burnley,eng Premier League,25.4,20
874,Ashley Young\be927d03,DFFW,Aston Villa,eng Premier League,13.9,20
875,Filip Đuričić\eccbe56a,MFFW,Sassuolo,it Serie A,7.5,20
876,Tyler Adams\2b09d998,MF,RB Leipzig,de Bundesliga,15.0,19
877,Daniel Amartey\1a4ef233,DF,Leicester City,eng Premier League,23.6,19
878,Adam Armstrong\68c720b5,FW,Southampton,eng Premier League,15.7,19
879,Keidi Bare\03049c8c,MF,Espanyol,es La Liga,16.5,19
880,Kike Barja\aad53e64,MFFW,Osasuna,es La Liga,9.6,19
881,Federico Chiesa\b0f7e36c,MFFW,Juventus,it Serie A,9.6,19
882,Cucho\71b47ab9,FWMF,Watford,eng Premier League,12.7,19
883,Tyronne Ebuehi\6af30900,DF,Venezia,it Serie A,12.6,19
884,Adam Forshaw\9f1938ab,MF,Leeds United,eng Premier League,17.0,19
885,Fred\b853e0ad,MF,Manchester Utd,eng Premier League,22.5,19
886,Cristian Gamboa\f27680d9,DF,Bochum,de Bundesliga,19.1,19
887,Florian Grillitsch\ffbbc83b,DFMF,Hoffenheim,de Bundesliga,16.6,19
888,Romain Hamouma\0b4d8274,FW,Saint-Étienne,fr Ligue 1,9.8,19
889,Zlatan Ibrahimović\4cde5509,FW,Milan,it Serie A,11.3,19
890,Dennis Johnsen\66784dee,FWMF,Venezia,it Serie A,16.1,19
891,Max Kruse\f9446dcd,FWMF,Wolfsburg,de Bundesliga,12.5,19
892,Juraj Kucka\5aaef9ef,MF,Watford,eng Premier League,21.3,19
893,Dejan Kulusevski\df3cda47,MFFW,Tottenham,eng Premier League,14.0,19
894,Harry Maguire\d8931174,DF,Manchester Utd,eng Premier League,27.9,19
895,Orel Mangala\a572e291,MF,Stuttgart,de Bundesliga,20.6,19
896,Riccardo Marchizza\91d0fabf,DF,Empoli,it Serie A,15.0,19
897,Óscar Melendo\379652be,MFFW,Espanyol,es La Liga,11.0,19
898,Marco Meyerhöfer\0b104510,DF,Greuther Fürth,de Bundesliga,25.3,19
899,Steve Mounié\19ba6c6d,FW,Brest,fr Ligue 1,25.7,19
900,Moussa Niakhate\00242715,DF,Mainz 05,de Bundesliga,28.5,19
901,Riccardo Orsolini\e14ec482,FW,Bologna,it Serie A,19.8,19
902,Mathias Pereira Lage\8846a40f,DF,Angers,fr Ligue 1,11.6,19
903,Yeremi Pino\540ec57b,MFFW,Villarreal,es La Liga,18.6,19
904,Sanjin Prcić\51c30111,MF,Strasbourg,fr Ligue 1,24.3,19
905,Rober\c00097d2,DF,Levante,es La Liga,22.3,19
906,Romain Saïss\9fbbcf39,DF,Wolves,eng Premier League,30.1,19
907,Antonio Sanabria\0a447501,FW,Torino,it Serie A,20.0,19
908,Alexis Sánchez\2c0f8e9e,FW,Inter,it Serie A,9.8,19
909,Djibril Sidibé\4c5b714f,DF,Monaco,fr Ligue 1,10.5,19
910,Giovanni Simeone\343c0d52,FW,Hellas Verona,it Serie A,29.5,19
911,Calvin Stengs\8f7e6783,MF,Nice,fr Ligue 1,11.9,19
912,Renato Tapia\34269bdf,MF,Celta Vigo,es La Liga,15.7,19
913,Ben White\35e413f1,DF,Arsenal,eng Premier League,32.0,19
914,Martin Agirregabiria\355c883a,DF,Alavés,es La Liga,18.0,18
915,Miguel Almirón\862a1c15,MFFW,Newcastle Utd,eng Premier League,19.1,18
916,Andrea Belotti\d705ba44,FW,Torino,it Serie A,15.2,18
917,Steven Bergwijn\a29b1131,FWMF,Tottenham,eng Premier League,6.3,18
918,John Brooks\e27da244,DF,Wolfsburg,de Bundesliga,29.1,18
919,Giorgio Chiellini\e85fb9b8,DF,Juventus,it Serie A,15.0,18
920,Maxwel Cornet\beb391dd,FWMF,Burnley,eng Premier League,19.6,18
921,Mamadou Coulibaly\c976160c,MF,Salernitana,it Serie A,9.0,18
922,Jonathan David\ce50fd99,FW,Lille,fr Ligue 1,31.2,18
923,Paweł Dawidowicz\16bb656a,DF,Hellas Verona,it Serie A,13.3,18
924,Grégoire Defrel\854ee61a,FW,Sassuolo,it Serie A,15.1,18
925,Federico Di Francesco\1fca9171,FWMF,Empoli,it Serie A,15.2,18
926,Alexander Djiku\43e7a164,DF,Strasbourg,fr Ligue 1,29.9,18
927,Jeremy Doku\fffea3e5,FWMF,Rennes,fr Ligue 1,5.2,18
928,Kingsley Ehizibue\76b2817e,DF,Köln,de Bundesliga,7.6,18
929,Anthony Elanga\2fba6108,FW,Manchester Utd,eng Premier League,13.5,18
930,Julien Faussurier\767212e6,MFDF,Brest,fr Ligue 1,5.4,18
931,Raúl Guti\0b2c8585,MF,Elche,es La Liga,18.1,18
932,Lucas Höler\ca618d23,FWMF,Freiburg,de Bundesliga,28.7,18
933,Hiroki Ito\204dded0,DF,Stuttgart,de Bundesliga,26.1,18
934,Juanmi\84399660,FW,Betis,es La Liga,23.7,18
935,Lee Kangin\8455ad90,MFFW,Mallorca,es La Liga,15.7,18
936,Wajdi Kechrida\11962fe7,DFMF,Salernitana,it Serie A,10.6,18
937,Kike\e897d8ba,FW,Osasuna,es La Liga,20.7,18
938,Ansgar Knauff\19a967ab,DF,Eint Frankfurt,de Bundesliga,8.4,18
939,Viktor Kovalenko\9d60028d,MF,Spezia,it Serie A,14.7,18
940,Kevin Lasagna\09538fdb,FWMF,Hellas Verona,it Serie A,13.2,18
941,Vincent Manceau\c26a3918,DF,Angers,fr Ligue 1,26.2,18
942,Gian Marco Ferrari\8650af85,DF,Sassuolo,it Serie A,34.7,18
943,Jonas Martin\468fdbad,MF,Rennes,fr Ligue 1,23.4,18
944,Weston McKennie\01c3aff5,MF,Juventus,it Serie A,15.2,18
945,Filippo Melegoni\6604165d,FWMF,Genoa,it Serie A,10.9,18
946,Gonzalo Montiel\374d5158,DF,Sevilla,es La Liga,11.8,18
947,Ximo Navarro\8db394aa,DF,Alavés,es La Liga,15.0,18
948,Álvaro Negredo\63b0ca6b,FW,Cádiz,es La Liga,24.0,18
949,Florian Neuhaus\36a59ba4,MF,M'Gladbach,de Bundesliga,23.6,18
950,Carlos Neva\8d47bb39,DF,Granada,es La Liga,23.4,18
951,Jeremy Ngakia\3631ad41,DF,Watford,eng Premier League,10.0,18
952,Dimitris Nikolaou\cf961d8d,DF,Spezia,it Serie A,36.0,18
953,Ricardo Pereira\75a72a99,DF,Leicester City,eng Premier League,11.0,18
954,Dennis Praet\86695068,FWMF,Torino,it Serie A,17.1,18
955,Tyler Roberts\6c17e046,MFFW,Leeds United,eng Premier League,11.0,18
956,Mohammed Salisu\0b33f6ad,DF,Southampton,eng Premier League,33.0,18
957,Salvi\405f267a,MFFW,Cádiz,es La Liga,15.5,18
958,Josh Sargent\a8d4428b,FWMF,Norwich City,eng Premier League,17.5,18
959,Renato Steffen\dd669209,FWMF,Wolfsburg,de Bundesliga,10.7,18
960,Jan Thielmann\fd53759d,MFFW,Köln,de Bundesliga,13.2,18
961,Jeremy Toljan\a96e5dc0,DF,Sassuolo,it Serie A,15.5,18
962,Miguel Trauco\e4b72e34,DF,Saint-Étienne,fr Ligue 1,12.4,18
963,Che Adams\f2bf1b0f,FW,Southampton,eng Premier League,22.7,17
964,Kelvin Amian\bcc81786,DF,Spezia,it Serie A,29.4,17
965,Angeliño\30941e96,DF,RB Leipzig,de Bundesliga,25.5,17
966,Toma Bašić\80556f08,MF,Lazio,it Serie A,10.9,17
967,Youcef Belaïli\1a248246,MFFW,Brest,fr Ligue 1,9.2,17
968,Ishak Belfodil\ff182fdc,FW,Hertha BSC,de Bundesliga,18.2,17
969,Jacob Bruun Larsen\4e204552,FWMF,Hoffenheim,de Bundesliga,9.0,17
970,Osman Bukari\eab85789,FWMF,Nantes,fr Ligue 1,11.2,17
971,Pierrick Capelle\79b2399c,MFDF,Angers,fr Ligue 1,13.3,17
972,William Carvalho\dee86451,MF,Betis,es La Liga,20.1,17
973,Timothy Chandler\b3b7f5a6,DF,Eint Frankfurt,de Bundesliga,13.5,17
974,Andreas Christensen\1cb49278,DF,Chelsea,eng Premier League,16.6,17
975,Carlos Clerc\33a61a52,DF,Levante,es La Liga,16.8,17
976,Ibrahima Diallo\11ff3d56,MF,Southampton,eng Premier League,11.4,17
977,Tiago Djaló\b2336681,DF,Lille,fr Ligue 1,25.9,17
978,Ondrej Duda\79ca3e23,MF,Köln,de Bundesliga,17.9,17
979,Christian Eriksen\980522ec,MF,Brentford,eng Premier League,10.4,17
980,Abdessamad Ezzalzouli\bed68338,FWDF,Barcelona,es La Liga,6.4,17
981,Moi Gómez\5a626448,MFFW,Villarreal,es La Liga,14.3,17
982,Maxime Gonalons\b8c1de25,MF,Granada,es La Liga,16.2,17
983,Michael Gregoritsch\8e235926,FWMF,Augsburg,de Bundesliga,15.5,17
984,Erling Haaland\1f44ac21,FW,Dortmund,de Bundesliga,21.2,17
985,Massadio Haïdara\5167c97e,DF,Lens,fr Ligue 1,12.0,17
986,Benjamin Henrichs\0a89e877,DF,RB Leipzig,de Bundesliga,12.7,17
987,Hassane Kamara\19a12bed,DF,Watford,eng Premier League,18.0,17
988,Fabien Lemoine\54d51e22,MF,Lorient,fr Ligue 1,12.4,17
989,Matthijs de Ligt\d6e53a3a,DF,Juventus,it Serie A,29.7,17
